loja,codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia,pai,camp,obs
1,1175,CUPIM RESFRIADO KG,38.89,37.99,13/08,13/08,ACOUGUE,0,1,quinta,
2,1175,CUPIM RESFRIADO KG,39.90,37.99,13/08,13/08,ACOUGUE,0,1,quinta,
3,1175,CUPIM RESFRIADO KG,39.99,37.99,13/08,13/08,ACOUGUE,0,1,quinta,
5,1175,CUPIM RESFRIADO KG,39.97,37.99,13/08,13/08,ACOUGUE,0,1,quinta,
8,1175,CUPIM RESFRIADO KG,39.97,37.99,13/08,13/08,ACOUGUE,0,1,quinta,
9,1175,CUPIM RESFRIADO KG,41.97,37.99,13/08,13/08,ACOUGUE,0,1,quinta,
1,1327,COSTELA BOVINA RESFRIADA KG,27.97,26.99,13/08,13/08,ACOUGUE,0,1,quinta,
2,1327,COSTELA BOVINA RESFRIADA KG,28.99,26.99,13/08,13/08,ACOUGUE,0,1,quinta,
3,1327,COSTELA BOVINA RESFRIADA KG,30.99,26.99,13/08,13/08,ACOUGUE,0,1,quinta,
5,1327,COSTELA BOVINA RESFRIADA KG,28.99,26.99,13/08,13/08,ACOUGUE,0,1,quinta,
8,1327,COSTELA BOVINA RESFRIADA KG,28.99,26.99,13/08,13/08,ACOUGUE,0,1,quinta,
9,1327,COSTELA BOVINA RESFRIADA KG,29.97,26.99,13/08,13/08,ACOUGUE,0,1,quinta,
1,1542,CHAMBARIL KG,31.99,27.99,13/08,13/08,ACOUGUE,0,1,quinta,
2,1542,CHAMBARIL KG,28.97,27.99,13/08,13/08,ACOUGUE,0,1,quinta,
3,1542,CHAMBARIL KG,28.99,27.99,13/08,13/08,ACOUGUE,0,1,quinta,
5,1542,CHAMBARIL KG,28.97,27.99,13/08,13/08,ACOUGUE,0,1,quinta,
8,1542,CHAMBARIL KG,29.99,27.99,13/08,13/08,ACOUGUE,0,1,quinta,
9,1542,CHAMBARIL KG,32.99,27.99,13/08,13/08,ACOUGUE,0,1,quinta,
1,1592,CARNE MOIDA DIANTEIRO KG,37.49,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
2,1592,CARNE MOIDA DIANTEIRO KG,34.97,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
3,1592,CARNE MOIDA DIANTEIRO KG,32.97,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
5,1592,CARNE MOIDA DIANTEIRO KG,34.90,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
8,1592,CARNE MOIDA DIANTEIRO KG,29.99,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
9,1592,CARNE MOIDA DIANTEIRO KG,35.97,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
1,1708,PEITO BOVINO C OSSO KG,32.99,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
2,1708,PEITO BOVINO C OSSO KG,29.99,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
3,1708,PEITO BOVINO C OSSO KG,29.99,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
5,1708,PEITO BOVINO C OSSO KG,30.99,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
8,1708,PEITO BOVINO C OSSO KG,29.99,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
9,1708,PEITO BOVINO C OSSO KG,29.49,28.99,13/08,13/08,ACOUGUE,0,1,quinta,
1,1094,SALSICHAO MISTO NATTO KG,17.49,15.99,14/08,14/08,FRIOS,0,1,sextou,
2,1094,SALSICHAO MISTO NATTO KG,17.49,15.99,14/08,14/08,FRIOS,0,1,sextou,
3,1094,SALSICHAO MISTO NATTO KG,17.49,15.99,14/08,14/08,FRIOS,0,1,sextou,
5,1094,SALSICHAO MISTO NATTO KG,17.49,15.99,14/08,14/08,FRIOS,0,1,sextou,
8,1094,SALSICHAO MISTO NATTO KG,17.49,15.99,14/08,14/08,FRIOS,0,1,sextou,
9,1094,SALSICHAO MISTO NATTO KG,17.49,15.99,14/08,14/08,FRIOS,0,1,sextou,
1,1326,LING CALABRESA SADIA KG,33.29,29.99,14/08,14/08,SALGADOS / DEFUMADOS,0,1,sextou,
2,1326,LING CALABRESA SADIA KG,33.29,29.99,14/08,14/08,SALGADOS / DEFUMADOS,0,1,sextou,
3,1326,LING CALABRESA SADIA KG,33.29,29.99,14/08,14/08,SALGADOS / DEFUMADOS,0,1,sextou,
5,1326,LING CALABRESA SADIA KG,33.29,29.99,14/08,14/08,SALGADOS / DEFUMADOS,0,1,sextou,
